Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
GEM,100548-001,Moleskine® Dropbox Smart Notebook Black,Black,,134,,,,,,,,,,,,,,,,,,,,
GEM,100555,Aviana™ Wisteria Double Wall Stainless Wine Bottle - 25 Oz.,"Double wall vacuum insulated wine bottle keeps wine at the perfect temperature. Made of high-grade 18/8 stainless steel with a sweatproof design. Leak-resistant lid is insulated providing superior temperature retention. Sleek, sophisticated silhouette with angular detail. Passivated interior protects against corrosion. Product does not retain odors or flavors. Retail hangtag with product features included. Hand wash recommended (dishwasher safe, top rack).",,,,,25,49,38.89,P,50,99,33.36,Q,100,299,29.12,R,300,600,28,R
GEM,100555-105,Aviana™ Wisteria Double Wall Stainless Wine Bottle - 25 Oz. White Opaque Gloss,White Opaque Gloss,,469,,,,,,,,,,,,,,,,,,,,
GEM,100557,Aviana™ Pinnacle Double Wall Stainless Beverage Bottle - 34 Oz.,"Double wall vacuum insulated beverage bottle. Made of high-grade 18/8 stainless steel with a sweatproof design. Push and pour inner lid. Comfortable side handle. Passivated interior protects against corrosion. Product does not retain odors or flavors. Base includes nonslip grip for extra stability. Retail hangtag with product features included. Hand wash recommended (dishwasher safe, top rack). BPA free. Keeps cold for 12 hours. Keeps hot for 5 hours. 34 oz. capacity.",,,,,12,24,27.99,R
GEM,100557-006,Aviana™ Pinnacle Double Wall Stainless Beverage Bottle - 34 Oz. Matte Black,Matte Black,,1934,,,,,,,,,,,,,,,,,,,,
GEM,100558,Aurora Ceramic Pour Over Set,"Make the perfect cup of coffee with this pour over set for home or the office. Pour over nestles onto top of mug for easy fit and includes handle for removal after brewing. Set is dishwasher safe (top rack), hand wash recommended. Mug: 3.5L 3.5H 3.5W. Pourover: 4L 3.5H 4W. One-piece natural gift box included (5L 7.25H 4.25W). 14 oz. capacity (mug).",,,,,30,49,23.59,P,50,99,20.23,Q,100,299,17.66,R,300,600,16.98,R
GEM,100558-100,Aurora Ceramic Pour Over Set White,White,,0,,,,,,,,,,,,,,,,,,,,
GEM,100559,Aurora Bamboo Ceramic Coffee Canister,"Keep coffee fresh in this stylish coffee canister perfect for home or the office. Body is dishwasher safe (top rack), hand wash recommended. Lid is hand wash only. One-piece natural gift box included (4.5L x 6.5H x 4.5W). 32 oz. capacity. This product contains bamboo, which is a natural material. Color and pattern variances are to be expected.",,,,,25,50,15.19,R
GEM,100559-100,Aurora Bamboo Ceramic Coffee Canister White,White,,409,,,,,,,,,,,,,,,,,,,,
GEM,100561,MiiR Vacuum Insulated Wide Mouth Bottle - 16 Oz.,Every MiiR product sold helps fund transparent giving projects. MiiR gives at least 1% of revenue to nonprofit organizations whose work empowers communities while benefiting the health of their natural environments.,,,,,12,24,49.63,P,25,49,42.57,Q,50,99,34.3,S,100,200,32.98,S
GEM,100561-104,MiiR Vacuum Insulated Wide Mouth Bottle - 16 Oz. White,White,,3176,,,,,,,,,,,,,,,,,,,,
GEM,100565,Optima TWS Earbud w/Wireless Charging Case,"Stream music from your smartphone, tablet, or any Bluetooth enabled device or take a call mid-playlist. Case can be wirelessly charged. Built-in lithium battery can be charged with the included micro USB cable. Bluetooth version: V5.0. Operating distance: 30'. Driver: φ6mm. Impedance: 16Ω. Maximum power input: 3mW. Max Power Output: 5mW. Sensitivity: 92dB. Frequency response: 20Hz-20KHz. Charging time: 1 hour. Playback time: 5 hours. Gift Box Dimensions: 5.9”L 3.42”W 1.89”H.",,,,,8,24,90.26,P,25,49,77.41,Q,50,99,67.58,R,100,200,64.98,R
GEM,100565-001,Optima TWS Earbud w/Wireless Charging Case Black,Black,,629,,,,,,,,,,,,,,,,,,,,
GEM,100568,Side Kick Charging Cable,"Fast charge and sync your iOS device with this heavy gauge woven fabric charging cable. Right angle charging tip allows the cable to double as a stand for landscape viewing while charging your device. Safe high-speed charging up to 5VDC - 2.4A 12W max, and works best for tablets and iOS smart phones. Extra durable premium quality nylon braided woven fabric and further reinforced by shielded metal connector tips. Compatible with iPhone 5 - 11X and iPad.",,,,,50,100,9.6,R
GEM,100568-001,Side Kick Charging Cable Black,Black,,4004,,,,,,,,,,,,,,,,,,,,
GEM,100568-031,Side Kick Charging Cable Medium Grey,Medium Grey,,4646,,,,,,,,,,,,,,,,,,,,
GEM,100568-436,Side Kick Charging Cable Royal Blue,Royal Blue,,4917,,,,,,,,,,,,,,,,,,,,
GEM,100571,Midori Bamboo Box Cooler,"Eco-friendly lunch cooler is made with certified bamboo fiber fabric, making it natural and sustainable. Bamboo is a fast-growing plant that thrives without fertilizer or pesticides. Dual zippered opening to main insulated compartment. Removable PEVA insert simplifies clean up. Raw metal hardware can be recycled. Interior print illustrates sustainable bamboo material story. 17.5"" - 34"" adjustable cotton webbing shoulder strap. Comfortably fits the Osaka and Kyoto Bento Boxes.",,,,,25,49,34.7,P,50,99,29.76,Q,100,299,25.98,R,300,600,24.98,R
GEM,100571-101,Midori Bamboo Box Cooler Natural,Natural,,1303,,,,,,,,,,,,,,,,,,,,
GEM,100588,Igloo Team Spirit Gourmet Cooler,Change up the traditional tower and send this cooler filled with 2 pounds of gourmet goodness. A perfect gift for one or for sharing (the tote can be kept by the recipient or if sending to an office suggest a fun drawing and let them pick a number to win!),,,,,6,24,170.44,P,25,49,150.44,Q,50,99,123.58,S,100,200,119.98,S
GEM,100588-038,Igloo Team Spirit Gourmet Cooler White-Grey,White-Grey,,881,,,,,,,,,,,,,,,,,,,,
GEM,100588-039,Igloo Team Spirit Gourmet Cooler Black-Grey,Black-Grey,,1381,,,,,,,,,,,,,,,,,,,,
GEM,100588-777,Igloo Team Spirit Gourmet Cooler Navy-White,Navy-White,,850,,,,,,,,,,,,,,,,,,,,
GEM,100589,Lunar Sweet Success Gourmet Cooler,"Packed with gourmet snacks, this 7 can capacity cooler is the gift that keeps on giving, featuring a sweet and savory assortment of favorites. Includes chocolate chip cookies, dipping pretzels, sweet n’ tangy mustard and berry nut mix packaged together in reusable drawstring gift bag. Food Net Weight: 8.7oz",,,,,40,99,36.69,P,100,299,32.39,Q,300,499,28.82,R,500,1000,27.98,R
GEM,100589-001,Lunar Sweet Success Gourmet Cooler Black,Black,,665,,,,,,,,,,,,,,,,,,,,
GEM,100589-100,Lunar Sweet Success Gourmet Cooler White,White,,665,,,,,,,,,,,,,,,,,,,,
GEM,100590,Igloo® Glacier Gourmet Cooler,"Packed to the brim with energy boosting gourmet snacks, this handy 14 can capacity cooler is the gift that keeps on giving, featuring a curated variety of sweet and savory artisan snacks  including Effie’s oat cakes, East Shore Dipping Pretzels with Sweet & Tangy Mustard, Hammond’s Caramel Popcorn and Sunny Day Super Snack Mix, a Taza Dark Chocolate Sea Salt & Almond Amaze Bar, Milk Bar Chocolate Chip, Pretzel and Potato Chip cookies and McCreas Cape Cod Sea Salt Caramels.",,,,,6,24,99.41,P,25,49,87.75,Q,50,99,72.08,S,100,200,69.98,S
GEM,100590-095,Igloo® Glacier Gourmet Cooler Deep Fog,Deep Fog,,266,,,,,,,,,,,,,,,,,,,,
GEM,100590-411,Igloo® Glacier Gourmet Cooler New Navy,New Navy,,1381,,,,,,,,,,,,,,,,,,,,
GEM,100603,RuMe® Recycled Classic Medium Tote,"The RuMe® Classic Medium Tote is the world's best all-everything tote that's small enough to stow anywhere when compacted, now in recycled materials! The tote is designed with a 4"" gusset that lends a supportive structure. The sewn-in hook and loop closure straps contains the tote when rolled so it stays small and easy to pack away when not in use. Machine washable. 21"" shoulder straps. Folded Dimensions: 5.5L 2H 1W.",,,,,50,99,13.87,P,100,299,11.89,Q,300,999,10.38,R,1000,2000,9.98,R
GEM,100603-001,RuMe® Recycled Classic Medium Tote Black,Black,,1176,,,,,,,,,,,,,,,,,,,,
GEM,100603-281,RuMe® Recycled Classic Medium Tote Burlap,Burlap,,204,,,,,,,,,,,,,,,,,,,,
GEM,100604,CORKCICLE® Coffee Mug - 16 oz.,"Keep your morning moment or afternoon pick-me-up warm for hours with the CORKCICLE Mug. Whether you prefer a coffee, cocoa or chamomile tea, it ensures that your favorite hot beverage stays toasty for up to three hours. Triple-insulated. Non-slip bottom. Includes a clear, sliding, spill-resistant lid. 16 oz. capacity. Does not include a box.",,,,,20,40,31.19,R
GEM,100604-006,CORKCICLE® Coffee Mug - 16 oz. Matte Black,Matte Black,,13019,,,,,,,,,,,,,,,,,,,,
GEM,100604-100,CORKCICLE® Coffee Mug - 16 oz. Gloss White,Gloss White,,9670,,,,,,,,,,,,,,,,,,,,
GEM,100604-221,CORKCICLE® Coffee Mug - 16 oz. Copper,Copper,,6503,,,,,,,,,,,,,,,,,,,,
GEM,100604-240,CORKCICLE® Coffee Mug - 16 oz. Walnut,Walnut,,4667,,,,,,,,,,,,,,,,,,,,
GEM,100604-405,CORKCICLE® Coffee Mug - 16 oz. Gloss Navy,Gloss Navy,,21538,,,,,,,,,,,,,,,,,,,,
GEM,100606,Time for a Snack-cation Gift Tote,"Our eco-friendly corrugated tote is filled with customer favorites and these gourmet treats are the perfect gifting solution for a room drop or welcome, employee appreciation, promotions or to say “thank you”. Includes caramel popcorn, dark chocolate sea salt seed bar, dipping pretzels with sweet n’ tangy mustard, berry nut mix and delicious oatcakes. Food Net Weight: 14 oz",,,,,20,40,23.1,R
GEM,100606-001,Time for a Snack-cation Gift Tote Black,Black,,825,,,,,,,,,,,,,,,,,,,,
GEM,100606-470,Time for a Snack-cation Gift Tote Navy Blue,Navy Blue,,1863,,,,,,,,,,,,,,,,,,,,
GEM,100607,Artisan Gourmet Gift Bag - Medium,"This gift bag brimming with gourmet treats is the perfect companion to pair with a cooler, sling bag, backpack, tote or drinkware item of your choice or as a delicious welcome gift on its own. Includes pistachio cherry cookies, dipping pretzels, sweet and tangy mustard, berry nut mix, cinnamon seed bar and a maple waffle to naturally fuel your day all packaged in a reusable drawstring gift bag. Food Net Weight: 10.3 oz. All items shown are packaged inside the gift bag.",,,,,20,49,43.25,P,50,99,38.17,Q,100,299,33.97,R,300,600,32.98,R
GEM,100607-101,Artisan Gourmet Gift Bag - Medium Natural,Natural,,665,,,,,,,,,,,,,,,,,,,,
GEM,100609,Because You're A Favorite Gift Bag,"Our most popular custom blended berry nut mix is everyone’s favorite snack and the perfect little something to say thank you or a fun way to promote your brand. Ideal as a stand alone favor, gift or pair it with drinkware for even greater impact. Kosher. Food Net Weight: 3 oz",,,,,50,99,9.48,P,100,299,8.37,Q,300,499,7.45,R,500,1000,7.23,R
GEM,100609-101,Because You're A Favorite Gift Bag Natural,Natural,,725,,,,,,,,,,,,,,,,,,,,
GEM,100610,Moleskine® Classic X-Large Tool Belt,"Transform your notebook and keep small objects organized and close at hand, ready to jot down ideas, plan events and increase productivity on the move/ Inspired by carpenters, architects and street artists who attach tools to their waists, the Tool Belt is a neat add-on to upgrade your notebook and keep all your note-taking essentials right where you need them. Notebook and pen not included.",,,,,12,24,60.12,P,25,49,51.56,Q,50,99,41.55,S,100,200,39.95,S
GEM,100610-001,Moleskine® Classic X-Large Tool Belt Black,Black,,270,,,,,,,,,,,,,,,,,,,,
GEM,100615,RuMe® Sling Bag,"The prefect sling bag to carry your day-to-day essentials. Lightweight, crossbody design packs down into its own back pocket for easy, on-the-go portability. Zippered opening to main compartment. Zippered security pocket on the back for stashing small accessories. Adjustable shoulder strap with quick release buckle closure. Strap length: 19.5"" - 42"". Machine washable. Folded Dimensions: 7L 5H.",,,,,50,99,12.48,P,100,299,10.7,Q,300,999,9.34,R,1000,2000,8.98,R
GEM,100615-080,RuMe® Sling Bag Heather Grey,Heather Grey,,4043,,,,,,,,,,,,,,,,,,,,
GEM,100615-412,RuMe® Sling Bag Navy,Navy,,3470,,,,,,,,,,,,,,,,,,,,
GEM,100617,Crowd Pleaser Gourmet Gift Bag,"A curated variety of gourmet artisan snacks is just the beginning. A superb gift bag to give as is or use as kit starter to create a unique custom bundle. We will bundle with your choice of a cooler, sling bag, backpack, tote, journal or drinkware item to suit any budget. Food Net Weight: 10.3 oz",,,,,8,24,57.67,P,25,49,50.9,Q,50,99,45.3,R,100,200,43.98,R
GEM,100617-101,Crowd Pleaser Gourmet Gift Bag Natural,Natural,,1381,,,,,,,,,,,,,,,,,,,,
GEM,100618,American Tourister® Zoom Turbo Spinner Underseat Carry-On,"It's okay to get caught speeding with Zoom Turbo from American Tourister. Featuring a sleek, athletic-inspired design and a host of organizational pockets for all your gear. 2 zippered exterior pockets for added storage and organization. Top carry handle lets you lift your carry-on with ease and comfort. Interior snap-in-place divider, mesh zipper pocket, and elastic cross straps. Push-button aluminum and steel tube locking trolley handle can easily be adjusted to user’s height.",,,,,6,24,165.5,P,25,49,141.94,Q,50,99,114.38,S,100,200,109.98,S
GEM,100618-001,American Tourister® Zoom Turbo Spinner Underseat Carry-On Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,100619,"American Tourister® Zoom Turbo 20"" Spinner Carry-On","It's okay to get caught speeding with Zoom Turbo from American Tourister. Featuring a sleek, athletic-inspired design and a host of organizational pockets for all your gear. 4 zippered exterior pockets for added storage and organization. Side and top carry handle lets you lift your carry-on with ease and comfort. Built-in organization including a WetPak™ pocket and elastic cross straps. Push-button aluminum and steel tube locking handle can easily be adjusted to user’s height.",,,,,6,24,188.07,P,25,49,161.3,Q,50,99,129.98,S,100,200,124.98,S
GEM,100619-001,"American Tourister® Zoom Turbo 20"" Spinner Carry-On Black",Black,,2187,,,,,,,,,,,,,,,,,,,,
GEM,100643,Reusable Face Mask,"Reusable face mask made of 2 layers of material.  100% Cotton Outer Layer, 96% Polyester/4% Spandex Inner Layer. One size fits all. Integrated metal nose frame. Interior filter pocket. Elastic straps with an adjustable toggle. Soft lining. Wash and dry before use. Wash routinely. Hand wash or machine wash cold, gentle cycle. Mask is not medical grade or a direct substitute for N-95, surgical, or procedural masks and should NOT be used as a replacement for approved PPE.",,,,,200,499,2.87,R,500,749,2.71,R,750,999,2.58,R,1000,2000,2.48,R
GEM,100643-001,Reusable Face Mask Black,Black,,4617,,,,,,,,,,,,,,,,,,,,
GEM,100672,Bring Your Own: The Go Green Set,"Bring your own bento meal on-the-go, wherever you go! Keep your lunch and snacks fresh and cool for hours. Featuring two of our most popular items, the Osaka Bento Box and the Bento Cooler (both in Black/Natural). The Osaka Bento Lunch Box is made made of BPA-free plastic materials, includes a complete utensil set, and is microwave safe (reheating time not more than 3 minutes. The Bento Cooler has a PEVA heat-sealed lining, interior mesh compartment, and plush neoprene top grab handle.",,,,,20,49,48.59,P,50,99,41.67,Q,100,299,36.38,R,300,600,34.98,R
GEM,100672-016,Bring Your Own: The Go Green Set Natural-Black,Natural-Black,,1607,,,,,,,,,,,,,,,,,,,,
GEM,100690,Satsuma Bento Lunch Box,"Fashionable design meets a traditional bento box that lets you carry your meals in style. BPA free and made from food-grade materials. Natural bamboo lid that can be used as a chopping board. Lid has leakproof silicone sealing ring. Durable elastic nylon strap keeps the box securely closed. A movable divider inside makes it easy to organize the space. Microwave safe, freezer safe, and dishwasher safe (without lid). Perfect for sandwiches, salads, pasta and much more on the go.",,,,,50,99,19.42,P,100,299,16.66,Q,300,999,14.54,R,1000,2000,13.98,R
GEM,100690-001,Satsuma Bento Lunch Box Black,Black,,6904,,,,,,,,,,,,,,,,,,,,
GEM,100690-100,Satsuma Bento Lunch Box White,White,,9163,,,,,,,,,,,,,,,,,,,,
GEM,100691,Nara Bento Lunch Box,"Fashionable design meets a traditional bento box that lets you carry your meals in style, BPA free and made from food-grade materials. Complete utensil set includes fork, knife, and spoon that packs into box. Two stackable compartments for separating and organizing meals and snacks. Lid has leakproof silicone sealing ring and plug. A movable divider inside makes it easy to organize the space. Microwave safe, freezer safe, and dishwasher safe (without lid).",,,,,30,49,24.98,P,50,99,21.42,Q,100,299,18.7,R,300,600,17.98,R
GEM,100691-101,Nara Bento Lunch Box Natural,Natural,,6179,,,,,,,,,,,,,,,,,,,,
GEM,100692,Ear Protector,"Reusable ear protector, 5 adjustable settings. Unisex – one size fits all. Ensures face mask comfort by allowing the elastic bands from a face mask to be comfortably hooked behind your head to protect your ears. Designed not to tangle hair. Material is soft, reusable, easy to clean.",,,,,200,400,0.38,R
GEM,100692-023,Ear Protector Gunmetal Grey,Gunmetal Grey,,615,,,,,,,,,,,,,,,,,,,,
GEM,100692-410,Ear Protector Navy,Navy,,14573,,,,,,,,,,,,,,,,,,,,
GEM,100694,Disposable Face Shield,"Disposable, non-fogging face shield. Adjustable headband. Full face coverage, protects eyes, nose and mouth. Unisex - one size fits all. Compatible with glasses. Chipboard paper is SFI certified. Made in the USA. Product ships flat, unassembled. Product dimensions (flat): 30L 13H. This product is currently only available for shipping in the US. All sales final. Pricing appearing on the website supersedes any other published prices",,,,,250,500,0.6,R
GEM,100694-100,Disposable Face Shield White,White,,17976,,,,,,,,,,,,,,,,,,,,
GEM,100701,Osprey Arcane™ Large Day,"The Arcane Large Day is a backpack constructed with durable recycled polyester fabric made from 10.5 plastic bottles. J-zip large front panel access to main compartment. Large zippered front panel scratch-free pocket. 15"" padded laptop sleeve + document sleeve. Internal organization, small zip pocket and key clip. Low-profile stretch water bottle side pocket. Stretch mesh shoulder strap sleeve for small items. Backed by Osprey’s All Mighty Guarantee.",,,,,6,24,137.73,S,25,49,129.93,S,50,99,123.74,S,100,200,118.98,S
GEM,100701-017,Osprey Arcane™ Large Day Stonewash Black,Stonewash Black,,2097,,,,,,,,,,,,,,,,,,,,
GEM,100701-121,Osprey Arcane™ Large Day Medium Grey Heather,Medium Grey Heather,,3164,,,,,,,,,,,,,,,,,,,,
GEM,100701-367,Osprey Arcane™ Large Day Pine Leaf Green,Pine Leaf Green,,578,,,,,,,,,,,,,,,,,,,,
GEM,100702,Osprey Arcane™ Small Day,"The Arcane Small Day is a backpack constructed with a recycled polyester fabric that is made from 7.8 plastic bottles. J-zip front panel access to main compartment. 13"" padded laptop sleeve, document sleeve. Stretch power mesh shoulder strap sleeve for transportation cards or small items. Quick-release aluminum security hook on harness. Large zippered front panel scratch-free pocket. Internal organization, small zip pocket and key clip. Backed by Osprey’s All Mighty Guarantee.",,,,,6,24,109.95,S,25,49,103.72,S,50,99,98.78,S,100,200,94.98,S
GEM,100702-017,Osprey Arcane™ Small Day Stonewash Black,Stonewash Black,,57,,,,,,,,,,,,,,,,,,,,
GEM,100702-367,Osprey Arcane™ Small Day Pine Leaf Green,Pine Leaf Green,,112,,,,,,,,,,,,,,,,,,,,
GEM,100703,"Osprey Arcane™ 13"" Laptop Sleeve","The Arcane 13” Laptop Sleeve offers streamlined and fully padded protection. Constructed with durable recycled polyester that’s refined to the touch. Clean lines, minimal depth and beautiful fabrics and hardware combine with utilitarian function. Padded main laptop compartment featuring a zippered closure. External zip document/notebook pocket. Pass-through luggage and carry handle. Side grab handle. Backed by Osprey’s All Mighty Guarantee.",,,,,12,24,46.28,S,25,49,43.66,S,50,99,41.58,S,100,200,39.98,S
GEM,100703-017,"Osprey Arcane™ 13"" Laptop Sleeve Stonewash Black",Stonewash Black,,914,,,,,,,,,,,,,,,,,,,,
GEM,100704,"Osprey Arcane™ 15"" Laptop Sleeve","The Arcane 15” Laptop Sleeve offers streamlined and fully padded protection. Constructed with durable recycled polyester fabric that is refined to the touch. Clean lines, minimal depth and beautiful fabrics and hardware combine with utilitarian function. Padded main laptop compartment featuring a zippered closure. External zip document/notebook pocket. Pass-through luggage and carry handle. Side grab handle. Backed by Osprey’s All Mighty Guarantee.",,,,,12,24,52.07,S,25,49,49.12,S,50,99,46.78,S,100,200,44.98,S
GEM,100704-017,"Osprey Arcane™ 15"" Laptop Sleeve Stonewash Black",Stonewash Black,,316,,,,,,,,,,,,,,,,,,,,
GEM,100705,Osprey Arcane™ Duffel Pack,"The perfect bag for a quick getaway, the Arcane Duffel Pack is constructed with recycled polyester made from 12.1 plastic bottles. Over-the-shoulder carry conversion to backpack-style carry. Large dual U-zip duffel-style access to main compartment. Quick-release aluminum security hook on harness and shoulder strap. Direct zip access to 15"" padded laptop sleeve. Internal mesh organization pocket with key clip. Side and top webbing grab handles. Backed by Osprey’s All Mighty Guarantee.",,,,,6,24,173.61,S,25,49,163.78,S,50,99,155.98,S,100,200,149.98,S
GEM,100705-017,Osprey Arcane™ Duffel Pack Stonewash Black,Stonewash Black,,288,,,,,,,,,,,,,,,,,,,,
GEM,100705-445,Osprey Arcane™ Duffel Pack Stargazer Blue,Stargazer Blue,,1893,,,,,,,,,,,,,,,,,,,,
GEM,100708,Osprey Arcane™ Roll Top Pack,"A beautifully crafted everyday bag, the Arcane Roll Top is constructed with a recycled polyester fabric made from 13 plastic bottles. Front panel stash pocket. Vertical zip front panel pocket. Low-profile stretch water bottle side pocket. Quick-release aluminum security hook on shoulder strap. 15” padded laptop sleeve, document sleeve. Roll top main compartment opening with webbing and aluminum buckle closure. Backed by Osprey’s All Mighty Guarantee.",,,,,6,24,133.1,S,25,49,125.56,S,50,99,119.58,S,100,200,114.98,S
GEM,100708-017,Osprey Arcane™ Roll Top Pack Stonewash Black,Stonewash Black,,354,,,,,,,,,,,,,,,,,,,,
GEM,100708-445,Osprey Arcane™ Roll Top Pack Stargazer Blue,Stargazer Blue,,113,,,,,,,,,,,,,,,,,,,,
GEM,100711,Osprey® Hikelite 18,Backpacks that are perfect for dayhikes and everyday use. Integrated raincover keeps your pack and gear dry. Trekking pole attachment with upper compression strap capture. Internal hydration sleeve accommodates up to a 3L reservoir (not included). Ventilated AirSpeed backpanel. Scratch resistant organization pocket for sunglasses and electronics. Stretch mesh side pockets for storing smaller items. Sternum strap with whistle. Removable webbing hipbelt. Backed by Osprey’s All Mighty Guarantee.,,,,,6,24,115.73,S,25,49,109.18,S,50,99,103.98,S,100,200,99.98,S
GEM,100711-001,Osprey® Hikelite 18 Black,Black,,1167,,,,,,,,,,,,,,,,,,,,
GEM,100711-426,Osprey® Hikelite 18 Blue Baca,Blue Baca,,421,,,,,,,,,,,,,,,,,,,,
GEM,100712,Modern Sprout® Indoor Herb Garden Kit,"This Modern Sprout self-watering herb kit features a vintage-inspired mason jar outfitted with a passive hydroponic system known as “wicking,” which brings water and nutrients up to the plant's roots. So whether you forget to water, over water, or both, we’ve got you covered. You don't need a green thumb to be able to enjoy growing and cultivating herbs thanks to this hassle-free kit that can be enjoyed over and over again.",,,,,25,50,15.37,S
GEM,100712-309,Modern Sprout® Indoor Herb Garden Kit Emerald,Emerald,,747,,,,,,,,,,,,,,,,,,,,
GEM,100712-313,Modern Sprout® Indoor Herb Garden Kit Teal,Teal,,57,,,,,,,,,,,,,,,,,,,,
GEM,100712-360,Modern Sprout® Indoor Herb Garden Kit Rosemary,Rosemary,,2266,,,,,,,,,,,,,,,,,,,,
GEM,100712-506,Modern Sprout® Indoor Herb Garden Kit Lavender,Lavender,,2544,,,,,,,,,,,,,,,,,,,,
GEM,100713,Modern Sprout® Glow & Grow Live Well Gift Set,"12oz scented soy candle features a light and refreshing scent. The grow kit components are tucked in the bottom of the box and include non-GMO seeds, soilless grow medium, plant food, activated carbon and instructions for success. Herb Garden w/ Basil Seeds, Desert Oasis w/Aloe Seeds, Wildflower w Daisy Seeds. INCLUDES 12 oz Scented Soy-Blend Candle, Reactive glaze ceramic vessel, Non-GMO seeds, Recycled glass grow medium, Coconut husk disk, Activated carbon, Plant food, Instruction manual.",,,,,12,24,32.25,S
GEM,100713-291,Modern Sprout® Glow & Grow Live Well Gift Set Amber: Desert Oasis w/ Aloe Seeds,Amber: Desert Oasis w/ Aloe Seeds,,1888,,,,,,,,,,,,,,,,,,,,
GEM,100713-335,Modern Sprout® Glow & Grow Live Well Gift Set Blue Green: Herb Garden w/ Basil Seeds,Blue Green: Herb Garden w/ Basil Seeds,,3449,,,,,,,,,,,,,,,,,,,,
GEM,100713-457,Modern Sprout® Glow & Grow Live Well Gift Set Ice Blue: Frosted Forest w/Spruce Seeds,Ice Blue: Frosted Forest w/Spruce Seeds,,4193,,,,,,,,,,,,,,,,,,,,
GEM,100713-609,Modern Sprout® Glow & Grow Live Well Gift Set Burgundy: Wildflower w/ Daisy Seeds,Burgundy: Wildflower w/ Daisy Seeds,,3118,,,,,,,,,,,,,,,,,,,,
GEM,100714,Modern Sprout® One For One Tree Kits,"Modern Sprout is on a mission to help reforest the future – for every kit purchased, a donation is made to plant a tree. Tree Kits feature carefully selected seed types that will thrive in most parts of the country. The container is made in the USA out of up-cycled cow manure, which is 100% biodegradable and helps heal nutrient-depleted soil. The Movement: 18.7 million acres of forest are lost each year. Every tree planted helps offset this loss, forming a brighter future for all of us.",,,,,30,49,22.55,P,50,99,19.34,Q,100,299,15.58,S,300,600,14.98,S
GEM,100714-328,Modern Sprout® One For One Tree Kits Spruce,Spruce,,5244,,,,,,,,,,,,,,,,,,,,
GEM,100714-371,Modern Sprout® One For One Tree Kits Loblolly Pine,Loblolly Pine,,1419,,,,,,,,,,,,,,,,,,,,
GEM,100718,Goodwin Deluxe Box Cooler,An innovative placemat cooler design for everyday use. Placemat style zippered opening that folds down flat into an easy-to-clean eating area. Fold out flaps with slash pockets with added utensil storage pocket. Interior bottle strap to hold beverage in place. Side mesh stash pockets perfect for storing snacks or accessories. Adjustable shoulder strap.,,,,,25,49,29.15,P,50,99,25,Q,100,299,21.82,R,300,600,20.98,R
GEM,100718-001,Goodwin Deluxe Box Cooler Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,100718-031,Goodwin Deluxe Box Cooler Medium Grey,Medium Grey,,18,,,,,,,,,,,,,,,,,,,,
GEM,100719,Goodwin Lunch Cooler,An innovative placemat cooler design for everyday use. Placemat style zippered opening that folds down flat into an easy-to-clean eating area. Fold out flaps with slash pockets with added utensil storage pocket. Side mesh stash pockets perfect for storing snacks or accessories. Adjustable shoulder strap. Holds 11 cans.,,,,,30,49,20.12,P,50,99,17.25,Q,100,299,15.06,R,300,600,14.48,R
GEM,100719-001,Goodwin Lunch Cooler Black,Black,,18698,,,,,,,,,,,,,,,,,,,,
GEM,100719-031,Goodwin Lunch Cooler Medium Grey,Medium Grey,,4017,,,,,,,,,,,,,,,,,,,,
GEM,100721,Aviana™ Gourmet Backpack Cooler,"This stylish, useful backpack cooler with treats makes for a delicious gift with flair. The Aviana™ Cooler Collection features quilted details, satin nickel accents, and soft nylon fabric. All items shown are packaged inside the backpack with plenty of room to add additional swag to create a custom and unique theme gift. 12 can capacity.",,,,,12,49,68.16,P,50,99,60.16,Q,100,299,53.54,R,300,600,51.98,R
GEM,100721-001,Aviana™ Gourmet Backpack Cooler Black,Black,,665,,,,,,,,,,,,,,,,,,,,
GEM,100721-410,Aviana™ Gourmet Backpack Cooler Navy,Navy,,665,,,,,,,,,,,,,,,,,,,,
GEM,100723,Hadley Insulated Haul Bag,Top flap zippered pocket for storing accessories.  Front slash pocket with key fob loop. Daisy chain webbing loops to attach your gear for access on the go. Rubberized mesh detail provides breathability while allowing dirt and debris to fall out when needed. Wide mouth cinch top opening to the main compartment for easy packing and unpacking. Packing cube inspired coolers provide optimal storage for keeping snacks and drinks organized and cool.,,,,,12,24,76.37,P,25,49,65.5,Q,50,99,57.18,R,100,200,54.98,R
GEM,100723-001,Hadley Insulated Haul Bag Black,Black,,2211,,,,,,,,,,,,,,,,,,,,
