Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Hub,101,Aeropure Stylus Pen,"For the ultimate promo pen package, look no further. The Aeropure features a
citrus-scented antibacterial sanitizer spray with 62% alcohol and functional
stylus to allow you to operate touch screens hands-free and clean your hands
when you must touch a surface. With a large imprint space front and center, your
brand is sure to stand out. Pen is operated by a twist-action retraction and
comes through the stylus tip when extended.
Hub,215BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,215BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,215GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,215RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,215WHI/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,216,Purity Pen,"It's a germy world out there. Make it a little safer to navigate with the Purity
Pen. The clean, white jumbo barrel pen with click mechanism is made of
antimicrobial plastic. It's not just a coating - an EPA registered antimicrobial
additive is mixed into the plastic body of the pen, resulting in superior and
more durable protection. A generous imprint area allows your brand to take
center stage.
Material: Antimicrobial Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk screen: 2"" W x 0.75"" H Silk Screen Barrel
Full Color: 3"" W x 0.25"" H Full Color Barrel
Tip Type: Ball Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=216/]
Standard Packaging: Bulk
Tags: Pen, Pens, Antimicrobial, Germ Resistant, Plastic Antimicrobial, Plastic,
Cost Effective, Safety, Office, Hospital, Hospitality, Real Estate, Writing,
Business, Banking, Legal, Home, Writing Instruments, Popular, Ppe",,,,,250,499,0.91,A,500,999,0.85,A,1000,4999,0.78,A,5000,10000,0.72,A
Hub,216BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,216BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,216GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,216RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,218,Palmiro Pen,"Economical click pen with clean white barrels and vivid trim. Ribbed grip and
ultrasmooth blue ink for writing ease. Generous imprint area makes your message
pop.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 2"" W x 0.5"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=218/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,300,499,0.54,A,500,999,0.52,A,1000,4999,0.5,A,5000,10000,0.46,A
Hub,218BLUE/BLUE,Collegiate Blue with Blue Ink,Collegiate Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,218GREY/BLUE,Silver Gray with Blue Ink,Silver Gray with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,218GRN/BLUE,Kiwi Green with Blue Ink,Kiwi Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,218RED/BLUE,Red with Blue Ink,Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,241,Gazer Pen,"The Gazer is sure to impress with its metal pen looks at a plastic pen price.
Shimmering metallic finish with shiny chrome trim and a metal ball in the clip
for a unique detail. Featuring a generous imprint area for max advertising
opportunity and black hybrid ink for effortless writing.
Material: Plastic
Standard Decoration Includes: Silk Screen 2"" X 1/2"" On Barrel, Black or White
imprint only. Assorted colors white imprint only.
All Available Decoration Options:
Silk Screen: 2"" W x 0.5"" H Barrel, Black or White imprint only. Assorted colors
white imprint only.
Full Color Digital: 2.5"" W x 0.25"" H Barrel
Straight Line Copy: No
Tip Type: Ball Point
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,0.93,A,500,999,0.85,A,1000,4999,0.78,A,5000,10000,0.7,A
Hub,241BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,241BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,241GRAY/BLK,Gray with Black Ink,Gray with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,241GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,241RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,242,Spectacle Pen,"It's all in the details. The Spectacle features sleek white barrels accented
with a pop of color framing the clip and plunger. It features a generous imprint
area, so your logo stands out from the crowd, and the black hybrid ink delivers
effortless writing.
Material: Plastic
Standard Decoration Includes: Silk Screen: 2"" X 1/2"" On Barrel
All Available Decoration Options:
Silk Screen: 2"" W x 0.5"" H Barrel
Full Color Digital: 2.5"" W x 0.25"" H Barrel
Straight Line Copy: No
Tip Type: Ball Point
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,0.89,A,500,999,0.82,A,1000,4999,0.74,A,5000,10000,0.67,A
Hub,242BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,242BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,242GRAY/BLK,Gray with Black Ink,Gray with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,242GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,242RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,252,VP Gel Pen,"The translucent barrels with coordinating ribbed rubber grip complete a classic,
yet contemporary profile for this plastic pen. The ergonomic shape creates
writing comfort while the gel ink smoothly transcripes your thoughts. It's a
promotional pen that they'll want to hold onto.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.25"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=252/]
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.79,A,500,999,0.71,A,1000,4999,0.64,A,5000,10000,0.57,A
Hub,252BLK/BLK,Translucent Black with Black Ink,Translucent Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,252BLUE/BLK,Translucent Blue with Black Ink,Translucent Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,252RED/BLK,Translucent Red with Black Ink,Translucent Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,252TEAL/BLK,Translucent Teal with Black Ink,Translucent Teal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,253,Corbato Comfort Pen,"Soft touch wide body pen in a sculpted ergonomic shape for writing ease.
Features wide clip with your full color imprint included. Sculpted ergonomic
shape for writing ease.
Material: Plastic
Standard Decoration Includes: Full Color, 1 Location
All Available Decoration Options:
Full Color: 1.88"" W x 0.44"" H Clip
Tip Type: Ball Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=253/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,1.43,A,500,999,1.36,A,1000,4999,1.28,A,5000,10000,1.2,A
Hub,253BLK/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,253BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,253GRN/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,253RED/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,254,FinaGel Pen,"Not to put too fine a point on it, but the FinaGel features a smooth writing
blue gel ink in a fine point, with a rubber comfort grip for an effortless
writing experience. The Brightly translucent body click pen is a fun and poppy
way to market your message.
Material: Plastic
Standard Decoration Includes: Silk Screen on Barrel
All Available Decoration Options:
Silk Screen: 1.75"" W x 0.5"" H Barrel
Tip Type: Fine Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=254/]
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,0.78,A,500,999,0.71,A,1000,4999,0.64,A,5000,10000,0.58,A
Hub,254BLK/BLUE,Black with Blue Ink,Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,254BLUE/BLUE,Blue with Blue Ink,Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,254LIME/BLUE,Lime with Blue Ink,Lime with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,258,Katana Pen,"Translucent barrels and no slip grips in rich corporate colors. Smooth writing
blue ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=258/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.56,A,500,999,0.53,A,1000,4999,0.51,A,5000,10000,0.47,A
Hub,258BLK/BLUE,Translucent Black with Blue Ink,Translucent Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,258BLUE/BLUE,Translucent Blue with Blue Ink,Translucent Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,258GRN/BLUE,Translucent Green with Blue Ink,Translucent Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,258RED/BLUE,Translucent Red with Blue Ink,Translucent Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,259,Suavita Pen,"Keep your brand on their minds with this translucent pen with jumbo, ergonomic
rubber grip. With smooth hybrid ink and a comfortable feel, this is one they're
sure to keep.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location, White imprint only
All Available Decoration Options:
Silk Screen: 1.38"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=259/]
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.66,A,500,999,0.6,A,1000,4999,0.56,A,5000,10000,0.51,A
Hub,259BLK/BLK,Translucent Black with Black Ink,Translucent Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,259GRAY/BLK,Translucent Gray with Black Ink,Translucent Gray with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,259RED/BLK,Translucent Red with Black Ink,Translucent Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,259TEAL/BLK,Translucent Teal with Black Ink,Translucent Teal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,263,Lemonade Comfort Pen,"Add your logo or message to a refreshingly fun pen with a vibrant ombre
soft-touch wrap and a fine-point hybrid ink for writing excellence.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location, Black or White imprint only
All Available Decoration Options:
Silk screen: 1.75"" W x 0.5"" H Barrel
Tip Type: Fine Point
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=263/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.95,A,500,999,0.86,A,1000,4999,0.8,A,5000,10000,0.74,A
Hub,263BLUE-GRN/BLK,Ombre Blue to Green with Black Ink,Ombre Blue to Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,263PINK-BLUE/BLK,Ombre Pink to Blue with Black Ink,Ombre Pink to Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,263YEL-PINK/BLK,Ombre Yellow to Pink with Black Ink,Ombre Yellow to Pink with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,267,LuxGel Pen,"Channeling the spirit of Japanese stationary, the LuxGel is a wide-body gel pen
featuring a smooth writing black gel ink. A sculpted grip allows for writing
comfort while with rich fashionable metallics make this an elegant addition to
any desk.
Material: Plastic
Standard Decoration Includes: 1 Color
All Available Decoration Options:
Silk screen: 2"" W x 0.63"" H Barrel
Full Color: 2.5"" W x 0.25"" H Barrel
Infinity Print: 3.5"" W x 1.373"" H Barrel (White Pen only)
Tip Type: Ball Point
Mechanism: Pull Cap
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=267/]
Standard Packaging: Bulk",,,,,250,499,1.02,A,500,999,0.94,A,1000,4999,0.84,A,5000,10000,0.77,A
Hub,267BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,267BLUE/BLK,Blue Topaz with Black Ink,Blue Topaz with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,267GUN/BLK,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,267RED/BLK,Metallic Merlot with Black Ink,Metallic Merlot with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,267WHT/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,268,Wow Click Pen,"Economical click stick pen with clean white barrels and vivid trim. Features
ultrasmooth blue ink for writing ease. Generous imprint area makes your message
pop.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.75"" W x 0.75"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,500,999,0.54,A,1000,4999,0.5,A,5000,9999,0.46,A,10000,20000,0.41,A
Hub,268BLK/BLUE,Black with Blue Ink,Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,268BLUE/BLUE,Blue with Blue Ink,Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,268GRN/BLUE,Green with Blue Ink,Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,268RED/BLUE,Red with Blue Ink,Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,271,Translucent Writer™ Pen,"Translucent slim line barrels with matching ribbed rubber grip. Guaranteed
ultrasmooth writing black ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=271/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.61,A,500,999,0.57,A,1000,4999,0.52,A,5000,10000,0.48,A
Hub,271BLK/BLK,Translucent Black with Black Ink,Translucent Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,271BLUE/BLK,Translucent Blue with Black Ink,Translucent Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,271GRN/BLK,Translucent Green with Black Ink,Translucent Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,271ORA/BLK,Translucent Orange  with Black Ink,Translucent Orange  with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,271RED/BLK,Tranclucent Red with Black Ink,Tranclucent Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,275,Koruna™ Pen,"Eye-catching promotional pen with unique details and a budget price. Vibrant
brights contrast with contemporary black and brushed silver accents. Jumbo
ergonomic shape and textured rubber grip for writing comfort. High perceived
value at a budget price.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=275/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.57,A,500,999,0.52,A,1000,4999,0.48,A,5000,10000,0.43,A
Hub,275BLUE/BLUE,Sky Blue-Black with Blue Ink,Sky Blue-Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,275GRN/BLUE,Lime Green-Black with Blue Ink,Lime Green-Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,275PINK/BLUE,Berry Pink-Black with Blue Ink,Berry Pink-Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,275RED/BLUE,Cherry Red-Black with Blue Ink,Cherry Red-Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,275YEL/BLUE,Yellow-Black with Blue Ink,Yellow-Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,276,Attache Pen,"Fun retro styling and a budget price make this a perfect promotional pen with a
generous imprint area really makes your imprint stand out. A great pen for the
hospitality industry.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 1.75"" W x 0.25"" H Full Color Barrel
: 1.25"" W x 0.25"" H Full Color Cap
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=276/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.71,A,500,999,0.67,A,1000,4999,0.61,A,5000,10000,0.57,A
Hub,276BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,276BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,276WHT/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,277,Sasta™ Pen,"Fun promotional pen with unique details and a budget price. A generous imprint
area really makes your imprint stand out for a lasting impact.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.5"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=277/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.54,A,500,999,0.5,A,1000,4999,0.46,A,5000,10000,0.41,A
Hub,277BLUE/BLUE,Blue with Blue Ink,Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,277LIME/BLUE,Lime Green with Blue Ink,Lime Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,277ORA/BLUE,Orange with Blue Ink,Orange with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,277PINK/BLUE,Pink with Blue Ink,Pink with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,277RED/BLUE,Red with Blue Ink,Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
